time,value,correction,quality
1995-07-27T11:00:00Z,378.24,0,3
1995-07-28T11:00:00Z,378.21,0,3
1995-07-29T11:00:00Z,378.2,0,3
1995-07-30T11:00:00Z,378.17,0,3
1995-07-31T11:00:00Z,378.21,0,3
1995-08-01T11:00:00Z,378.23,0,3
1995-08-02T11:00:00Z,378.18,0,3
1995-08-03T11:00:00Z,378.08,0,3
1995-08-04T11:00:00Z,378.04,0,3
1995-08-05T11:00:00Z,378.03,0,3
1995-08-06T11:00:00Z,378.07,0,3
1995-08-07T11:00:00Z,378.41,0,3
1995-08-08T11:00:00Z,378.33,0,3
1995-08-09T11:00:00Z,378.41,0,3
1995-08-10T11:00:00Z,378.46,0,3
1995-08-11T11:00:00Z,378.26,0,3
1995-08-12T11:00:00Z,378.08,0,3
1995-08-13T11:00:00Z,378.2,0,3
1995-08-14T11:00:00Z,378.37,0,3
1995-08-15T11:00:00Z,378.31,0,3
1995-08-16T11:00:00Z,378.18,0,3
1995-08-17T11:00:00Z,378.16,0,3
1995-08-18T11:00:00Z,378.16,0,3
1995-08-19T11:00:00Z,378.21,0,3
1995-08-20T11:00:00Z,378.33,0,3
1995-08-21T11:00:00Z,378.54,0,3
1995-08-22T11:00:00Z,378.63,0,3
1995-08-23T11:00:00Z,378.68,0,3
1995-08-24T11:00:00Z,378.79,0,3
1995-08-25T11:00:00Z,378.83,0,3
1995-08-26T11:00:00Z,378.9,0,3
1995-08-27T11:00:00Z,378.93,0,3
1995-08-28T11:00:00Z,378.92,0,3
1995-08-29T11:00:00Z,378.89,0,3
1995-08-30T11:00:00Z,378.86,0,3
1995-08-31T11:00:00Z,378.84,0,3
1995-09-01T11:00:00Z,378.82,0,3
1995-09-02T11:00:00Z,378.83,0,3
1995-09-03T11:00:00Z,378.83,0,3
1995-09-04T11:00:00Z,378.87,0,3
1995-09-05T11:00:00Z,378.78,0,3
1995-09-06T11:00:00Z,378.61,0,3
1995-09-07T11:00:00Z,378.4,0,3
1995-09-08T11:00:00Z,378.2,0,3
1995-09-09T11:00:00Z,378.03,0,3
1995-09-10T11:00:00Z,378.1,0,3
1995-09-11T11:00:00Z,378.18,0,3
1995-09-12T11:00:00Z,378.24,0,3
1995-09-13T11:00:00Z,378.24,0,3
1995-09-14T11:00:00Z,378.16,0,3
1995-09-15T11:00:00Z,378.09,0,3
1995-09-16T11:00:00Z,378.11,0,3
1995-09-17T11:00:00Z,378.28,0,3
1995-09-18T11:00:00Z,378.43,0,3
1995-09-19T11:00:00Z,378.42,0,3
1995-09-20T11:00:00Z,378.3,0,3
1995-09-21T11:00:00Z,378.21,0,3
1995-09-22T11:00:00Z,378.11,0,3
1995-09-23T11:00:00Z,378.05,0,3
1995-09-24T11:00:00Z,378.15,0,3
1995-09-25T11:00:00Z,378.59,0,3
1995-09-26T11:00:00Z,378.73,0,3
1995-09-27T11:00:00Z,378.88,0,3
1995-09-28T11:00:00Z,378.84,0,3
1995-09-29T11:00:00Z,378.67,0,3
1995-09-30T11:00:00Z,378.48,0,3
1995-10-01T11:00:00Z,378.24,0,3
1995-10-02T11:00:00Z,378.06,0,3
1995-10-03T11:00:00Z,377.97,0,3
1995-10-04T11:00:00Z,378.61,0,3
1995-10-05T11:00:00Z,378.92,0,3
1995-10-06T11:00:00Z,379.31,0,3
1995-10-07T11:00:00Z,379.68,0,3
1995-10-08T11:00:00Z,380.4,0,3
1995-10-09T11:00:00Z,379.99,0,3
1995-10-10T11:00:00Z,379.66,0,3
1995-10-11T11:00:00Z,379.66,0,3
1995-10-12T11:00:00Z,379.68,0,3
1995-10-13T11:00:00Z,379.82,0,3
1995-10-14T11:00:00Z,379.68,0,3
1995-10-15T11:00:00Z,379.64,0,3
1995-10-16T11:00:00Z,379.56,0,3
1995-10-17T11:00:00Z,379.49,0,3
1995-10-18T11:00:00Z,379.6,0,3
1995-10-19T11:00:00Z,380.04,0,3
1995-10-20T11:00:00Z,380.57,0,3
1995-10-21T11:00:00Z,379.98,0,3
1995-10-22T11:00:00Z,379.53,0,3
