index,Latitude,Longitude,Time,Rain,Sea_Level_Pressure,Temperature,Time_Index
615102,23.80920029,78.75,1999-01-16,0.0,102000.0,292.8,15
329839,30.0,69.375,1999-01-16,0.0,102000.0,293.9,15
174061,27.5,75.0,1999-01-16,0.0,101807.0,294.3,15
70449,30.0,75.0,1999-01-16,0.0,102100.0,296.09998,15
459504,25.0,78.75,1999-01-16,0.0,102100.0,294.2,15
589169,23.80920029,77.5,1999-01-16,0.0,102100.0,293.8,15
485437,23.80920029,69.375,1999-01-16,0.0,102100.0,299.3,15
355772,30.0,78.75,1999-01-16,0.0,102100.0,284.8,15
199964,27.5,77.5,1999-01-16,0.0,101892.0,294.49,15
303576,25.0,77.5,1999-01-16,0.0,101767.0,293.49,15
251770,25.0,72.5,1999-01-16,0.0,101887.0,297.3,15
433571,25.0,69.375,1999-01-16,0.0,101887.0,299.41998,15
277673,25.0,75.0,1999-01-16,0.0,101915.0,294.49,15
225867,25.0,70.0,1999-01-16,0.0,101832.0,299.2,15
537303,23.80920029,72.5,1999-01-16,0.0,101832.0,296.9,15
303577,25.0,77.5,1999-01-17,0.0,101682.0,293.49,16
459505,25.0,78.75,1999-01-17,0.0,101682.0,294.2,16
70450,30.0,75.0,1999-01-17,0.0,101937.0,295.99,16
433572,25.0,69.375,1999-01-17,0.0,101937.0,299.4,16
511371,23.80920029,70.0,1999-01-17,0.0,101937.0,298.3,16
148159,27.5,72.5,1999-01-17,0.0,101800.0,295.59998,16
407639,27.5,78.75,1999-01-17,0.0,101800.0,295.07,16
589170,23.80920029,77.5,1999-01-17,0.0,101800.0,293.8,16
174062,27.5,75.0,1999-01-17,0.0,101702.0,294.3,16
355773,30.0,78.75,1999-01-17,0.0,101702.0,284.77002,16
277674,25.0,75.0,1999-01-17,0.0,101850.0,294.49,16
381706,27.5,69.375,1999-01-17,0.0,101850.0,296.49,16
329840,30.0,69.375,1999-01-17,0.0,101850.0,293.82,16
251771,25.0,72.5,1999-01-17,0.0,101787.0,297.27002,16
537304,23.80920029,72.5,1999-01-17,0.0,101787.0,296.9,16
563237,23.80920029,75.0,1999-01-17,0.0,101787.0,295.3,16
225868,25.0,70.0,1999-01-17,0.0,101680.0,299.2,16
122256,27.5,70.0,1999-01-17,0.0,101830.0,297.09998,16
44547,30.0,72.5,1999-01-17,0.0,101870.0,296.9,16
199965,27.5,77.5,1999-01-17,0.0,101757.0,294.49,16
18644,30.0,70.0,1999-01-17,0.0,101757.0,295.72,16
96353,30.0,77.5,1999-01-17,0.0,101907.0,292.45,16
